C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0004751616,0006556048                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0004751912,0006556272                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0004375114,0005295050                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0004375121,0005295092                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0004375181,0005295342                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0004375363,0005295522                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0004375695,0005295732                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0004375881,0005295833                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0004375964,0005295868                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0004375967,0005295899                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0004376010,0005296073                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0004376145,0005296217                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0004376346,0005296377                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0004376478,0005296448                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0004376509,0005296458                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0004376521,0005296621                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0004376765,0005297444                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0004376936,0005297665                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0004377616,0005297950                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0004377898,0005298129                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0004377942,0005298145                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0004377958,0005298317                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0004378200,0005299242                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0004378368,0005299462                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0004379059,0005299763                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0004379313,0005299918                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0004379342,0005299928                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0004379354,0005300078                                             
